"Date and Time Run 1","Time (s) Run 1","Force Beam 1 (N) Run 1","Force Beam 2 (N) Run 1","Force Beam 3 (N) Run 1","Force Beam 4 (N) Run 1","Vertical Force (N) Run 1","Date and Time Run 2","Time (s) Run 2","Force Beam 1 (N) Run 2","Force Beam 2 (N) Run 2","Force Beam 3 (N) Run 2","Force Beam 4 (N) Run 2","Vertical Force (N) Run 2"
11/01/2022 08:48:37 am,1.310,23.09,58.18,-4.78,62.92,139.40,11/01/2022 08:50:52 am,1.310,22.96,75.07,-4.78,76.41,169.67
11/01/2022 08:48:37 am,1.315,23.56,58.18,-4.86,62.79,139.68,11/01/2022 08:50:52 am,1.315,17.48,62.66,-4.66,67.18,142.66
11/01/2022 08:48:37 am,1.320,24.24,58.23,-4.81,62.74,140.40,11/01/2022 08:50:52 am,1.320,5.66,58.60,-4.46,69.51,129.33
11/01/2022 08:48:37 am,1.325,24.61,57.98,-4.71,62.03,139.92,11/01/2022 08:50:52 am,1.325,-0.15,59.53,-4.61,73.95,128.73
11/01/2022 08:48:37 am,1.330,24.76,57.90,-4.66,60.91,138.93,11/01/2022 08:50:52 am,1.330,-3.35,62.61,-4.63,78.34,132.97
11/01/2022 08:48:37 am,1.335,24.16,57.83,-4.81,60.20,137.39,11/01/2022 08:50:52 am,1.335,-4.28,60.55,-3.80,79.91,132.39
11/01/2022 08:48:37 am,1.340,23.76,57.13,-4.86,59.52,135.55,11/01/2022 08:50:52 am,1.340,-4.60,58.33,-0.85,78.77,131.65
11/01/2022 08:48:37 am,1.345,23.39,56.85,-4.76,58.76,134.24,11/01/2022 08:50:52 am,1.345,-3.43,55.85,7.69,75.24,135.36
11/01/2022 08:48:37 am,1.350,22.81,56.70,-4.81,57.54,132.25,11/01/2022 08:50:52 am,1.350,-2.75,44.19,22.28,67.15,130.87
11/01/2022 08:48:37 am,1.355,22.34,56.35,-4.81,56.91,130.79,11/01/2022 08:50:52 am,1.355,-3.85,55.30,10.01,69.66,131.13
11/01/2022 08:48:37 am,1.360,22.34,56.28,-4.78,56.45,130.28,11/01/2022 08:50:52 am,1.360,-4.88,62.43,5.09,85.97,148.62
11/01/2022 08:48:37 am,1.365,22.64,55.17,-4.81,55.61,128.62,11/01/2022 08:50:52 am,1.365,-4.80,56.93,5.64,80.80,138.57
11/01/2022 08:48:37 am,1.370,23.26,54.72,-4.76,54.50,127.73,11/01/2022 08:50:52 am,1.370,-4.13,52.30,12.15,74.74,135.07
11/01/2022 08:48:37 am,1.375,23.86,54.97,-4.83,53.51,127.52,11/01/2022 08:50:52 am,1.375,-3.95,42.26,19.02,68.75,126.09
